database_id,chemical_shift_x,chemical_shift_y,intensity
HMDB0000001,7.6707,141.1235,0.5356910436
HMDB0000001,7.0007,122.4674,0.6896048698
HMDB0000001,3.9572,57.6393,0.4148107829
HMDB0000001,3.6836,36.0702,1.0
HMDB0000001,3.1606,31.2365,0.1006031515
HMDB0000001,3.0647,31.1453,0.1683342557
HMDB0000002,3.1068,39.5301,1.0
HMDB0000002,2.0646,27.8203,0.2248735089
HMDB0000002,3.134,3.139,NA
HMDB0000002,3.129,2.09,NA
HMDB0000002,3.129,3.105,NA
HMDB0000002,3.128,3.122,NA
HMDB0000002,2.096,3.139,NA
HMDB0000002,2.094,2.072,NA
HMDB0000002,2.094,2.091,NA
HMDB0000002,2.094,3.122,NA
HMDB0000002,2.093,3.104,NA
HMDB0000005,2.7482,35.3601,0.9610826672
HMDB0000005,1.0507,9.2696,1.0
HMDB0000008,3.9901,76.173,0.848785136
HMDB0000008,1.7224,29.8133,0.3644608304
HMDB0000008,1.6489,29.8133,0.3272696017
HMDB0000008,0.8866,11.31,1.0
HMDB0000010,6.7704,109.5576,0.5906488518
HMDB0000010,6.46,115.5352,0.6131629556
HMDB0000010,3.7091,55.5934,1.0
HMDB0000010,2.676,28.2179,0.277460489
HMDB0000010,2.4299,35.1912,0.0267475787
HMDB0000010,2.3538,25.5592,0.1545522292
HMDB0000010,2.1544,43.4932,0.1724277175
HMDB0000010,2.0594,35.1899,0.0738999239
HMDB0000010,1.943,20.9138,0.1298261221
HMDB0000010,1.8966,26.0902,0.0932600656
HMDB0000010,1.7616,31.2064,0.1921712982
HMDB0000010,1.5558,20.9138,0.0791260199
HMDB0000010,1.48,37.8448,0.1383110037
HMDB0000010,1.4738,49.4701,0.1188593419
HMDB0000010,1.369,31.2073,0.0883126931
HMDB0000010,1.3691,25.5598,0.0679017285
HMDB0000010,1.2982,26.0901,0.0745981708
HMDB0000010,0.8351,13.284,0.0476766853
HMDB0000011,4.147,68.3896,0.3234399787
HMDB0000011,2.3999,49.0878,0.2053779542
HMDB0000011,2.3021,49.1281,0.2481304704
HMDB0000011,1.1925,24.404,1.0
HMDB0000012,7.8436,144.6562,0.313501897
HMDB0000012,6.2674,88.237,0.7195629147
HMDB0000012,5.8851,104.9659,0.7357372962
HMDB0000012,4.4488,73.1481,0.8009548762
HMDB0000012,4.0291,89.385,1.0
HMDB0000012,3.8294,64.071,0.2811785231
HMDB0000012,3.7496,64.071,0.4246579108
HMDB0000012,2.38,41.4308,0.4166243966
HMDB0000014,7.8205,144.584,0.2174153719
HMDB0000014,6.2544,88.8954,0.5188396007
HMDB0000014,6.0349,99.2081,0.3647639421
HMDB0000014,4.4286,73.3247,0.9211185544
HMDB0000014,4.043,89.3582,1.0
HMDB0000014,3.8354,64.0935,0.1369436313
HMDB0000014,3.754,64.0508,0.2985720183
HMDB0000014,2.4266,41.8356,0.2287866847
HMDB0000014,2.2938,41.8755,0.2835040907
HMDB0000016,5.7365,124.1874,1.0
HMDB0000016,4.1888,69.44,0.4871399277
HMDB0000016,2.4662,59.1327,0.4717044707
HMDB0000016,2.43,34.0082,0.2081070717
HMDB0000016,2.3968,32.7589,0.2423130577
HMDB0000016,2.3515,34.0082,0.137026009
HMDB0000016,2.2821,32.7589,0.206123046
HMDB0000016,2.2338,22.9035,0.196778003
HMDB0000016,2.0315,35.7433,0.1868525648
HMDB0000016,1.947,38.4501,0.2028925586
HMDB0000016,1.8685,31.8567,0.2287205171
HMDB0000016,1.781,24.5692,0.2692872989
HMDB0000016,1.778,22.9035,0.2339663233
HMDB0000016,1.7116,35.7433,0.2661958668
HMDB0000016,1.6391,20.9602,0.2613616147
HMDB0000016,1.5757,35.6045,0.228141465
HMDB0000016,1.4459,20.9602,0.1042298115
HMDB0000016,1.3735,38.4501,0.2132177111
HMDB0000016,1.3463,24.6386,0.1808931574
HMDB0000016,1.1893,17.4899,0.4942022951
HMDB0000016,1.1833,56.0789,0.2834889158
HMDB0000016,1.0686,31.9261,0.1294299923
HMDB0000016,0.975,53.6497,0.3205255409
HMDB0000016,0.7305,13.5339,0.5183272256
HMDB0000016,0.6641,13.6033,0.4595098044
HMDB0000017,7.8235,137.2765,1.0
HMDB0000017,2.4178,19.8204,0.4368424675
HMDB0000019,3.033,39.5419,0.3641696257
HMDB0000019,1.1174,18.864,1.0
HMDB0000019,3.024,3.032,NA
HMDB0000019,3.022,2.997,NA
HMDB0000019,3.022,3.013,NA
HMDB0000019,3.019,1.132,NA
HMDB0000019,1.118,3.014,NA
HMDB0000019,1.117,3.031,NA
HMDB0000019,1.116,1.124,NA
HMDB0000019,1.116,2.996,NA
HMDB0000019,1.116,3.048,NA
HMDB0000019,1.115,1.107,NA
HMDB0000019,1.115,2.979,NA
HMDB0000019,1.113,0.95,NA
HMDB0000019,1.113,0.961,NA
HMDB0000019,0.887,0.895,NA
HMDB0000019,0.886,0.878,NA
HMDB0000019,0.824,1.101,NA
HMDB0000020,7.1573,133.2445,0.3173774662
HMDB0000020,6.8492,118.2289,0.293140914
HMDB0000020,3.4379,46.2174,1.0
HMDB0000021,7.6668,142.4315,1.0
HMDB0000021,7.1388,133.5193,0.5265512666
HMDB0000021,6.8822,118.5286,0.6858260154
HMDB0000021,3.904,58.8257,0.6179995199
HMDB0000021,3.1409,37.7679,0.158619967
HMDB0000021,2.9792,37.7109,0.2433470735
HMDB0000022,6.986,115.9991,0.0355246128
HMDB0000022,6.9166,118.6489,0.3134413789
HMDB0000022,6.8239,124.6844,0.0851685223
HMDB0000022,3.8751,58.4412,1.0
HMDB0000022,3.2499,43.7205,0.3662347201
HMDB0000022,2.9256,35.1825,0.5722680417
HMDB0000023,3.6844,67.3949,0.7548946946
HMDB0000023,3.5244,67.3949,0.8184360107
HMDB0000023,2.4727,47.4452,1.0
HMDB0000023,1.0916,16.6013,0.5328878701
HMDB0000023,1.0209,16.6013,0.491096746
HMDB0000026,3.2944,39.9036,0.5550752237
HMDB0000026,2.3709,40.0739,1.0
HMDB0000030,4.3019,59.0919,0.7313447823
HMDB0000030,4.1316,60.8977,0.7331447301
HMDB0000030,3.1027,55.1049,0.6507942994
HMDB0000030,2.8216,39.6649,0.2704460307
HMDB0000030,2.5759,39.6646,0.1714123945
HMDB0000030,2.1995,33.1973,1.0
HMDB0000030,1.613,27.89,0.3185203792
HMDB0000030,1.5161,24.3497,0.621787167
HMDB0000030,1.4654,27.89,0.2901345615
